freq,psd_x,psd_y,psd_z,psd_xyz,zv(51.2),mzv(31.0),ei(42.6),2hump_ei(39.2),3hump_ei(48.0)
41.1,2.087e+02,3.437e+03,4.535e+02,4.099e+03,0.276,0.133,0.038,0.016,0.014
42.4,2.200e+02,3.374e+03,5.090e+02,4.103e+03,0.243,0.131,0.040,0.023,0.018
43.6,2.446e+02,3.711e+03,6.022e+02,4.558e+03,0.209,0.124,0.038,0.028,0.023
44.9,3.187e+02,4.245e+03,8.602e+02,5.424e+03,0.176,0.114,0.033,0.031,0.027
46.1,4.932e+02,5.152e+03,1.309e+03,6.955e+03,0.142,0.100,0.030,0.032,0.029
47.4,6.209e+02,6.281e+03,1.717e+03,8.619e+03,0.111,0.092,0.028,0.029,0.030
48.6,8.744e+02,9.550e+03,2.786e+03,1.321e+04,0.088,0.086,0.029,0.027,0.029
49.9,9.021e+02,1.098e+04,3.494e+03,1.537e+04,0.070,0.081,0.035,0.027,0.027
51.1,1.107e+03,1.470e+04,5.491e+03,2.130e+04,0.062,0.081,0.045,0.029,0.024
52.4,9.958e+02,1.207e+04,4.642e+03,1.771e+04,0.068,0.086,0.061,0.034,0.019
53.6,7.913e+02,7.130e+03,2.900e+03,1.082e+04,0.085,0.096,0.085,0.042,0.014
54.9,8.029e+02,5.759e+03,2.370e+03,8.932e+03,0.107,0.111,0.111,0.058,0.013
56.1,9.001e+02,4.278e+03,1.849e+03,7.027e+03,0.135,0.129,0.138,0.084,0.012
57.3,1.083e+03,4.177e+03,1.944e+03,7.204e+03,0.167,0.157,0.167,0.112,0.013
58.6,8.000e+02,3.286e+03,1.436e+03,5.523e+03,0.198,0.193,0.197,0.142,0.015
59.8,6.723e+02,2.001e+03,8.974e+02,3.571e+03,0.229,0.230,0.227,0.174,0.018
61.1,1.005e+03,1.663e+03,8.424e+02,3.511e+03,0.260,0.267,0.258,0.206,0.022
62.3,9.427e+02,1.806e+03,8.872e+02,3.636e+03,0.290,0.304,0.289,0.240,0.025
63.6,9.320e+02,1.532e+03,7.573e+02,3.221e+03,0.320,0.340,0.321,0.273,0.025
64.8,8.884e+02,8.614e+02,4.614e+02,2.211e+03,0.349,0.375,0.351,0.305,0.023
66.1,6.910e+02,4.849e+02,3.077e+02,1.483e+03,0.377,0.408,0.381,0.336,0.024
67.3,5.726e+02,3.240e+02,2.395e+02,1.136e+03,0.405,0.440,0.411,0.365,0.025
